score	tier	name	owner	path
9.2	S	ui	shadcn-ui	repositories/frontend/shadcn-ui_ui.yaml
9.2	S	three.js	mrdoob	repositories/frontend/mrdoob_three.js.yaml
9.2	S	superpowers	obra	repositories/skills/obra_superpowers.yaml
9.2	S	supabase	supabase	repositories/databases/supabase_supabase.yaml
9.2	S	react	react	repositories/frontend/react_react.yaml
9.2	S	hermes-agent	NousResearch	repositories/agent-frameworks/nousresearch_hermes-agent.yaml
9.2	S	go	golang	repositories/developer-tools/golang_go.yaml
9.2	S	fastapi	fastapi	repositories/backend/fastapi_fastapi.yaml
9.2	S	deno	denoland	repositories/developer-tools/denoland_deno.yaml
9.2	S	claude-code	anthropics	repositories/skills/anthropics_claude-code.yaml
9.2	S	browser-use	browser-use	repositories/browser-automation/browser-use_browser-use.yaml
9.2	S	TypeScript	microsoft	repositories/frontend/microsoft_typescript.yaml
8.9	S	trufflehog	trufflesecurity	repositories/developer-tools/trufflesecurity_trufflehog.yaml
8.9	S	table	TanStack	repositories/frontend/tanstack_table.yaml
8.9	S	skills	anthropics	repositories/skills/anthropics_skills.yaml
8.9	S	semantic-kernel	microsoft	repositories/agent-frameworks/microsoft_semantic-kernel.yaml
8.9	S	redis	redis	repositories/databases/redis_redis.yaml
8.9	S	pydantic-ai	pydantic	repositories/agent-frameworks/pydantic_pydantic-ai.yaml
8.9	S	promptfoo	promptfoo	repositories/evaluation/promptfoo_promptfoo.yaml
8.9	S	playwright-mcp	microsoft	repositories/mcp-servers/microsoft_playwright-mcp.yaml
8.9	S	playwright	microsoft	repositories/browser-automation/microsoft_playwright.yaml
8.9	S	p5.js	processing	repositories/frontend/processing_p5.js.yaml
8.9	S	orm	prisma	repositories/databases/prisma_orm.yaml
8.9	S	openai-agents-python	openai	repositories/agent-frameworks/openai_openai-agents-python.yaml
8.9	S	nest	nestjs	repositories/backend/nestjs_nest.yaml
8.9	S	mongo	mongodb	repositories/databases/mongodb_mongo.yaml
8.9	S	llama_index	run-llama	repositories/agent-frameworks/run-llama_llama_index.yaml
8.9	S	langgraph	langchain-ai	repositories/agent-frameworks/langchain-ai_langgraph.yaml
8.9	S	langfuse	langfuse	repositories/evaluation/langfuse_langfuse.yaml
8.9	S	haystack	deepset-ai	repositories/agent-frameworks/deepset-ai_haystack.yaml
8.9	S	gin	gin-gonic	repositories/backend/gin-gonic_gin.yaml
8.9	S	express	expressjs	repositories/backend/expressjs_express.yaml
8.9	S	dspy	stanfordnlp	repositories/agent-frameworks/stanfordnlp_dspy.yaml
8.9	S	crewAI	crewAIInc	repositories/agent-frameworks/crewaiinc_crewai.yaml
8.9	S	cpython	python	repositories/developer-tools/python_cpython.yaml
8.9	S	chrome-devtools-mcp	ChromeDevTools	repositories/mcp-servers/chromedevtools_chrome-devtools-mcp.yaml
8.9	S	bun	oven-sh	repositories/backend/oven-sh_bun.yaml
8.9	S	adk-python	google	repositories/agent-frameworks/google_adk-python.yaml
8.9	S	CheatSheetSeries	OWASP	repositories/developer-tools/owasp_cheatsheetseries.yaml
8.75	S	frontend-implementation	-	skills/frontend-implementation/SKILL.md
8.6	S	tailwindcss	tailwindlabs	repositories/frontend/tailwindlabs_tailwindcss.yaml
8.6	S	skills	openai	repositories/skills/openai_skills.yaml
8.6	S	servers	modelcontextprotocol	repositories/mcp-servers/modelcontextprotocol_servers.yaml
8.6	S	phoenix	Arize-ai	repositories/evaluation/arize-ai_phoenix.yaml
8.6	S	lm-evaluation-harness	EleutherAI	repositories/evaluation/eleutherai_lm-evaluation-harness.yaml
8.6	S	bytebase	bytebase	repositories/databases/bytebase_bytebase.yaml
8.6	S	browser-testing	-	skills/browser-testing/SKILL.md
8.6	S	agents.md	agentsmd	repositories/skills/agentsmd_agents.md.yaml
8.6	S	agent-framework	microsoft	repositories/agent-frameworks/microsoft_agent-framework.yaml
8.6	S	SWE-bench	SWE-bench	repositories/evaluation/swe-bench_swe-bench.yaml
8.55	S	source-validation	-	skills/source-validation/SKILL.md
8.5	S	research-before-code	-	skills/research-before-code/SKILL.md
8.4	A	evidence-validation	-	skills/evidence-validation/SKILL.md
8.3	A	mcp	supabase	repositories/mcp-servers/supabase_mcp.yaml
8.3	A	logfire	pydantic	repositories/evaluation/pydantic_logfire.yaml
8.2	A	security-audit	-	skills/security-audit/SKILL.md
8.2	A	frontend-design	-	skills/frontend-design/SKILL.md
8.15	A	web-research	-	skills/web-research/SKILL.md
8.15	A	testing	-	skills/testing/SKILL.md
8.15	A	database-design	-	skills/database-design/SKILL.md
8.15	A	backend-engineering	-	skills/backend-engineering/SKILL.md
8.15	A	ai-slop-detection	-	skills/ai-slop-detection/SKILL.md
8.1	A	excalidraw	excalidraw	repositories/frontend/excalidraw_excalidraw.yaml
8.1	A	accessibility-audit	-	skills/accessibility-audit/SKILL.md
8.05	A	debugging	-	skills/debugging/SKILL.md
8.05	A	context-engineering	-	skills/context-engineering/SKILL.md
8.0	A	performance-audit	-	skills/performance-audit/SKILL.md
8.0	A	helm	stanford-crfm	repositories/evaluation/stanford-crfm_helm.yaml
7.95	A	prompt-engineering	-	skills/prompt-engineering/SKILL.md
7.95	A	code-review	-	skills/code-review/SKILL.md
7.95	A	api-design	-	skills/api-design/SKILL.md
7.8	A	repository-analysis	-	skills/repository-analysis/SKILL.md
7.8	A	reasoning	-	skills/reasoning/SKILL.md
7.8	A	project-planning	-	skills/project-planning/SKILL.md
7.8	A	awesome-claude-code	hesreallyhim	repositories/skills/hesreallyhim_awesome-claude-code.yaml
